Timestamp,Timestamp (ISO 8601),X,Y,Page
1763199371.534853,2025-11-15T15:06:11.534853,1171,159,unknown46
1763199371.547839,2025-11-15T15:06:11.547839,738,893,unknown46
1763199371.559838,2025-11-15T15:06:11.559837,511,881,unknown46
1763199371.572106,2025-11-15T15:06:11.572106,417,867,unknown46
1763199371.608778,2025-11-15T15:06:11.608777,236,1080,unknown46
1763199371.618996,2025-11-15T15:06:11.618996,219,1028,unknown46
1763199371.630997,2025-11-15T15:06:11.630996,245,1010,unknown46
1763199371.705466,2025-11-15T15:06:11.705466,243,994,unknown46
1763199371.716354,2025-11-15T15:06:11.716354,258,870,unknown46
1763199371.726827,2025-11-15T15:06:11.726826,225,898,unknown46
1763199371.817280,2025-11-15T15:06:11.817280,302,1018,unknown46
1763199371.827950,2025-11-15T15:06:11.827949,261,940,unknown46
1763199371.837728,2025-11-15T15:06:11.837727,287,1047,unknown46
1763199371.917161,2025-11-15T15:06:11.917160,232,1080,unknown46
1763199371.927354,2025-11-15T15:06:11.927354,417,945,unknown46
1763199371.936811,2025-11-15T15:06:11.936811,447,947,unknown46
1763199372.009268,2025-11-15T15:06:12.009267,253,935,unknown46
1763199372.018699,2025-11-15T15:06:12.018699,471,695,unknown46
1763199372.030704,2025-11-15T15:06:12.030703,414,750,unknown46
1763199372.104264,2025-11-15T15:06:12.104263,334,849,unknown46
1763199372.114266,2025-11-15T15:06:12.114265,570,767,unknown46
1763199372.123962,2025-11-15T15:06:12.123961,623,751,unknown46
1763199372.218122,2025-11-15T15:06:12.218122,301,795,unknown46
1763199372.228894,2025-11-15T15:06:12.228893,324,888,unknown46
1763199372.239534,2025-11-15T15:06:12.239533,248,903,unknown46
1763199372.312419,2025-11-15T15:06:12.312418,153,976,unknown46
1763199372.322407,2025-11-15T15:06:12.322407,177,850,unknown46
1763199372.330318,2025-11-15T15:06:12.330317,201,825,unknown46
1763199372.409946,2025-11-15T15:06:12.409946,192,955,unknown46
1763199372.418438,2025-11-15T15:06:12.418437,223,921,unknown46
1763199372.427418,2025-11-15T15:06:12.427417,331,933,unknown46
1763199372.504995,2025-11-15T15:06:12.504994,235,895,unknown46
1763199372.516996,2025-11-15T15:06:12.516996,266,971,unknown46
1763199372.528995,2025-11-15T15:06:12.528995,316,922,unknown46
1763199372.618099,2025-11-15T15:06:12.618099,226,869,unknown46
1763199372.628100,2025-11-15T15:06:12.628100,212,973,unknown46
1763199372.637100,2025-11-15T15:06:12.637100,185,951,unknown46
1763199372.717161,2025-11-15T15:06:12.717160,237,991,unknown46
1763199372.726555,2025-11-15T15:06:12.726555,341,954,unknown46
1763199372.735890,2025-11-15T15:06:12.735890,339,975,unknown46
1763199372.809154,2025-11-15T15:06:12.809154,447,911,unknown46
1763199372.818153,2025-11-15T15:06:12.818153,533,924,unknown46
1763199372.828153,2025-11-15T15:06:12.828152,504,923,unknown46
1763199372.903597,2025-11-15T15:06:12.903596,490,934,unknown46
1763199372.913596,2025-11-15T15:06:12.913596,426,881,unknown46
1763199372.921520,2025-11-15T15:06:12.921519,447,955,unknown46
1763199373.017414,2025-11-15T15:06:13.017414,492,871,unknown46
1763199373.027324,2025-11-15T15:06:13.027324,475,901,unknown46
1763199373.039225,2025-11-15T15:06:13.039225,486,920,unknown46
1763199373.113117,2025-11-15T15:06:13.113116,364,798,unknown46
1763199373.125072,2025-11-15T15:06:13.125072,322,857,unknown46
1763199373.137072,2025-11-15T15:06:13.137071,316,835,unknown46
1763199373.212089,2025-11-15T15:06:13.212089,368,907,unknown46
1763199373.224085,2025-11-15T15:06:13.224085,389,815,unknown46
1763199373.236091,2025-11-15T15:06:13.236091,393,727,unknown46
1763199373.305828,2025-11-15T15:06:13.305828,308,861,unknown46
1763199373.317932,2025-11-15T15:06:13.317932,297,753,unknown46
1763199373.329827,2025-11-15T15:06:13.329826,311,770,unknown46
1763199373.419429,2025-11-15T15:06:13.419428,377,837,unknown46
1763199373.431430,2025-11-15T15:06:13.431429,352,766,unknown46
1763199373.443413,2025-11-15T15:06:13.443412,331,812,unknown46
1763199373.512985,2025-11-15T15:06:13.512985,308,871,unknown46
1763199373.523970,2025-11-15T15:06:13.523969,341,895,unknown46
1763199373.535971,2025-11-15T15:06:13.535971,335,908,unknown46
1763199373.609062,2025-11-15T15:06:13.609062,359,879,unknown46
1763199373.619022,2025-11-15T15:06:13.619022,402,894,unknown46
1763199373.632023,2025-11-15T15:06:13.632022,380,860,unknown46
1763199373.704453,2025-11-15T15:06:13.704452,884,865,unknown46
1763199373.716451,2025-11-15T15:06:13.716451,860,885,unknown46
1763199373.726678,2025-11-15T15:06:13.726678,857,826,unknown46
1763199373.819647,2025-11-15T15:06:13.819647,907,768,unknown46
1763199373.830339,2025-11-15T15:06:13.830339,901,855,unknown46
1763199373.838901,2025-11-15T15:06:13.838901,917,779,unknown46
1763199373.912396,2025-11-15T15:06:13.912396,975,874,unknown46
1763199373.923394,2025-11-15T15:06:13.923394,934,948,unknown46
1763199373.935507,2025-11-15T15:06:13.935506,975,796,unknown46
1763199374.007068,2025-11-15T15:06:14.007068,604,967,unknown46
1763199374.019210,2025-11-15T15:06:14.019210,602,984,unknown46
1763199374.031418,2025-11-15T15:06:14.031418,591,958,unknown46
1763199374.106048,2025-11-15T15:06:14.106048,347,969,unknown46
1763199374.116495,2025-11-15T15:06:14.116495,344,994,unknown46
1763199374.128912,2025-11-15T15:06:14.128912,333,968,unknown46
1763199374.216478,2025-11-15T15:06:14.216478,273,921,unknown46
1763199374.228503,2025-11-15T15:06:14.228502,268,907,unknown46
1763199374.240479,2025-11-15T15:06:14.240479,348,901,unknown46
1763199374.319971,2025-11-15T15:06:14.319971,345,916,unknown46
1763199374.332191,2025-11-15T15:06:14.332191,397,940,unknown46
1763199374.342984,2025-11-15T15:06:14.342983,411,912,unknown46
1763199374.410739,2025-11-15T15:06:14.410738,309,976,unknown46
1763199374.422536,2025-11-15T15:06:14.422536,326,1045,unknown46
1763199374.431655,2025-11-15T15:06:14.431654,311,1024,unknown46
1763199374.505179,2025-11-15T15:06:14.505179,309,929,unknown46
1763199374.517179,2025-11-15T15:06:14.517179,306,915,unknown46
1763199374.526512,2025-11-15T15:06:14.526512,269,946,unknown46
1763199374.618435,2025-11-15T15:06:14.618434,315,946,unknown46
1763199374.628434,2025-11-15T15:06:14.628434,396,935,unknown46
1763199374.638434,2025-11-15T15:06:14.638433,352,984,unknown46
1763199374.713144,2025-11-15T15:06:14.713143,375,956,unknown46
1763199374.722470,2025-11-15T15:06:14.722469,396,938,unknown46
1763199374.730367,2025-11-15T15:06:14.730367,407,970,unknown46
1763199374.808609,2025-11-15T15:06:14.808608,393,826,unknown46
1763199374.818608,2025-11-15T15:06:14.818607,330,884,unknown46
1763199374.830844,2025-11-15T15:06:14.830844,389,935,unknown46
1763199374.906493,2025-11-15T15:06:14.906493,412,778,unknown46
1763199374.916601,2025-11-15T15:06:14.916601,481,923,unknown46
1763199374.928493,2025-11-15T15:06:14.928493,465,927,unknown46
1763199375.016050,2025-11-15T15:06:15.016049,468,863,unknown46
1763199375.026150,2025-11-15T15:06:15.026149,490,924,unknown46
1763199375.038050,2025-11-15T15:06:15.038050,534,922,unknown46
1763199375.113894,2025-11-15T15:06:15.113894,642,840,unknown46
1763199375.123259,2025-11-15T15:06:15.123258,641,843,unknown46
1763199375.134828,2025-11-15T15:06:15.134827,702,843,unknown46
1763199375.208374,2025-11-15T15:06:15.208374,778,933,unknown46
1763199375.216736,2025-11-15T15:06:15.216736,794,906,unknown46
1763199375.227867,2025-11-15T15:06:15.227867,813,896,unknown46
1763199375.304515,2025-11-15T15:06:15.304514,887,848,unknown46
1763199375.316622,2025-11-15T15:06:15.316622,893,856,unknown46
1763199375.326848,2025-11-15T15:06:15.326847,905,851,unknown46
1763199375.417511,2025-11-15T15:06:15.417510,887,849,unknown46
1763199375.427743,2025-11-15T15:06:15.427743,891,882,unknown46
1763199375.436978,2025-11-15T15:06:15.436978,901,865,unknown46
1763199375.512513,2025-11-15T15:06:15.512513,945,878,unknown46
1763199375.525639,2025-11-15T15:06:15.525639,940,855,unknown46
1763199375.534873,2025-11-15T15:06:15.534873,952,857,unknown46
1763199375.608503,2025-11-15T15:06:15.608503,1005,925,unknown46
1763199375.618149,2025-11-15T15:06:15.618149,994,877,unknown46
1763199375.629150,2025-11-15T15:06:15.629149,988,883,unknown46
1763199375.708422,2025-11-15T15:06:15.708422,1042,940,unknown46
1763199375.717151,2025-11-15T15:06:15.717151,1023,906,unknown46
1763199375.725853,2025-11-15T15:06:15.725853,1063,883,unknown46
1763199375.816836,2025-11-15T15:06:15.816836,943,890,unknown46
1763199375.826836,2025-11-15T15:06:15.826835,981,830,unknown46
1763199375.836637,2025-11-15T15:06:15.836636,967,892,unknown46
1763199375.917770,2025-11-15T15:06:15.917770,1035,867,unknown46
1763199375.926932,2025-11-15T15:06:15.926932,1082,878,unknown46
1763199375.937935,2025-11-15T15:06:15.937934,1102,902,unknown46
1763199376.008041,2025-11-15T15:06:16.008041,1003,796,unknown46
1763199376.018292,2025-11-15T15:06:16.018292,1088,867,unknown46
1763199376.028262,2025-11-15T15:06:16.028261,1074,830,unknown46
1763199376.103455,2025-11-15T15:06:16.103454,985,916,unknown46
1763199376.114512,2025-11-15T15:06:16.114511,992,895,unknown46
1763199376.124944,2025-11-15T15:06:16.124944,1027,893,unknown46
1763199376.201701,2025-11-15T15:06:16.201701,1095,934,unknown46
1763199376.213159,2025-11-15T15:06:16.213159,1072,890,unknown46
1763199376.312423,2025-11-15T15:06:16.312423,1053,665,unknown46
1763199376.322322,2025-11-15T15:06:16.322321,1041,640,unknown46
1763199376.334089,2025-11-15T15:06:16.334088,1092,676,unknown46
1763199376.372123,2025-11-15T15:06:16.372122,1103,646,unknown46
1763199376.433328,2025-11-15T15:06:16.433327,1013,395,unknown46
1763199376.479903,2025-11-15T15:06:16.479902,985,400,unknown46
1763199376.511567,2025-11-15T15:06:16.511566,989,402,unknown46
1763199376.558621,2025-11-15T15:06:16.558621,905,359,unknown46
1763199376.603352,2025-11-15T15:06:16.603352,903,408,unknown46
1763199376.649143,2025-11-15T15:06:16.649143,932,406,unknown46
1763199376.695185,2025-11-15T15:06:16.695184,1003,225,unknown46
1763199376.742480,2025-11-15T15:06:16.742479,994,192,unknown46
1763199376.789324,2025-11-15T15:06:16.789323,1221,0,unknown46
1763199376.904790,2025-11-15T15:06:16.904789,1184,0,unknown46
1763199376.959583,2025-11-15T15:06:16.959582,1506,0,unknown46
1763199377.021959,2025-11-15T15:06:17.021959,1527,29,unknown46
1763199377.069234,2025-11-15T15:06:17.069233,1521,76,unknown46
1763199377.131989,2025-11-15T15:06:17.131989,1377,53,unknown46
1763199377.179398,2025-11-15T15:06:17.179397,1447,52,unknown46
1763199377.210206,2025-11-15T15:06:17.210205,1428,69,unknown46
1763199377.257324,2025-11-15T15:06:17.257324,1329,108,unknown46
1763199377.333903,2025-11-15T15:06:17.333903,1322,130,unknown46
1763199377.380130,2025-11-15T15:06:17.380130,1352,180,unknown46
1763199377.427187,2025-11-15T15:06:17.427186,1336,144,unknown46
1763199377.473627,2025-11-15T15:06:17.473627,978,13,unknown46
1763199377.519753,2025-11-15T15:06:17.519753,981,43,unknown46
1763199377.583306,2025-11-15T15:06:17.583305,891,13,unknown46
1763199377.630089,2025-11-15T15:06:17.630088,865,39,unknown46
1763199377.691915,2025-11-15T15:06:17.691914,804,0,unknown46
1763199377.723726,2025-11-15T15:06:17.723725,757,0,unknown46
1763199377.771050,2025-11-15T15:06:17.771050,968,0,unknown46
1763199377.802163,2025-11-15T15:06:17.802163,939,10,unknown46
1763199377.847976,2025-11-15T15:06:17.847976,932,30,unknown46
1763199377.940537,2025-11-15T15:06:17.940536,945,0,unknown46
1763199377.987628,2025-11-15T15:06:17.987628,1039,25,unknown46
1763199378.034814,2025-11-15T15:06:18.034814,972,54,unknown46
1763199378.081042,2025-11-15T15:06:18.081041,794,0,unknown46
1763199378.111503,2025-11-15T15:06:18.111503,823,5,unknown46
1763199378.157938,2025-11-15T15:06:18.157937,177,40,unknown46
1763199378.220562,2025-11-15T15:06:18.220561,296,36,unknown46
1763199378.268561,2025-11-15T15:06:18.268561,104,62,unknown46
1763199378.332139,2025-11-15T15:06:18.332139,328,41,unknown46
1763199378.380042,2025-11-15T15:06:18.380041,252,142,unknown46
1763199378.413552,2025-11-15T15:06:18.413552,270,148,unknown46
1763199378.459556,2025-11-15T15:06:18.459555,148,226,unknown46
1763199378.535459,2025-11-15T15:06:18.535459,96,268,unknown46
1763199378.596797,2025-11-15T15:06:18.596796,158,134,unknown46
1763199378.642761,2025-11-15T15:06:18.642761,159,211,unknown46
1763199378.706357,2025-11-15T15:06:18.706356,268,319,unknown46
1763199378.735921,2025-11-15T15:06:18.735920,229,282,unknown46
1763199379.566586,2025-11-15T15:06:19.566585,374,882,unknown46
