Timestamp,Timestamp (ISO 8601),X,Y,Page
1763286173.718504,2025-11-16T15:12:53.718503,735,1042,restart_game_0
1763286173.765932,2025-11-16T15:12:53.765931,804,1080,restart_game_0
1763286173.843773,2025-11-16T15:12:53.843773,246,854,restart_game_0
1763286173.890962,2025-11-16T15:12:53.890962,252,691,restart_game_0
1763286173.939099,2025-11-16T15:12:53.939098,280,765,restart_game_0
1763286173.971180,2025-11-16T15:12:53.971179,255,768,consent_page_0
1763286174.095958,2025-11-16T15:12:54.095958,359,529,consent_page_0
1763286174.158894,2025-11-16T15:12:54.158893,424,453,consent_page_0
1763286174.222897,2025-11-16T15:12:54.222897,384,458,consent_page_0
1763286174.347874,2025-11-16T15:12:54.347874,423,1080,consent_page_0
1763286174.415985,2025-11-16T15:12:54.415984,321,366,consent_page_0
1763286174.505183,2025-11-16T15:12:54.505182,256,1052,consent_page_0
1763286174.692188,2025-11-16T15:12:54.692187,332,946,consent_page_0
1763286174.770640,2025-11-16T15:12:54.770640,208,1080,consent_page_0
1763286174.816660,2025-11-16T15:12:54.816660,219,945,consent_page_0
1763286174.864196,2025-11-16T15:12:54.864195,245,874,consent_page_0
1763286174.895221,2025-11-16T15:12:54.895220,254,903,consent_page_0
1763286175.050227,2025-11-16T15:12:55.050226,263,999,consent_page_0
1763286175.098115,2025-11-16T15:12:55.098115,316,987,consent_page_0
1763286175.146028,2025-11-16T15:12:55.146027,334,1006,consent_page_0
1763286175.458460,2025-11-16T15:12:55.458460,363,533,consent_page_0
1763286175.613457,2025-11-16T15:12:55.613457,591,890,consent_page_0
1763286175.660223,2025-11-16T15:12:55.660222,465,761,consent_page_0
1763286175.707327,2025-11-16T15:12:55.707327,794,457,consent_page_0
1763286175.756019,2025-11-16T15:12:55.756018,769,451,consent_page_0
1763286175.800729,2025-11-16T15:12:55.800728,790,439,consent_page_0
1763286175.847071,2025-11-16T15:12:55.847071,563,127,consent_page_0
1763286175.972394,2025-11-16T15:12:55.972394,823,134,consent_page_0
1763286176.019802,2025-11-16T15:12:56.019802,844,224,consent_page_0
1763286176.104313,2025-11-16T15:12:56.104313,738,208,consent_page_0
