Timestamp,Timestamp (ISO 8601),X,Y,Page
1763285537.401926,2025-11-16T15:02:17.401925,838,546,restart_game_0
1763285537.449689,2025-11-16T15:02:17.449689,839,544,restart_game_0
1763285537.511745,2025-11-16T15:02:17.511745,850,526,restart_game_0
1763285537.556639,2025-11-16T15:02:17.556639,839,479,restart_game_0
1763285537.603714,2025-11-16T15:02:17.603713,826,496,restart_game_0
1763285537.669350,2025-11-16T15:02:17.669350,856,626,consent_page_0
1763285537.790880,2025-11-16T15:02:17.790880,699,662,consent_page_0
1763285537.836786,2025-11-16T15:02:17.836786,663,795,consent_page_0
1763285537.892905,2025-11-16T15:02:17.892905,613,729,consent_page_0
1763285537.947335,2025-11-16T15:02:17.947335,618,733,consent_page_0
1763285538.009808,2025-11-16T15:02:18.009807,750,690,consent_page_0
1763285538.103208,2025-11-16T15:02:18.103207,690,662,consent_page_0
1763285538.150602,2025-11-16T15:02:18.150601,691,691,consent_page_0
1763285538.182602,2025-11-16T15:02:18.182601,719,710,consent_page_0
1763285538.246605,2025-11-16T15:02:18.246605,737,544,consent_page_0
1763285538.307300,2025-11-16T15:02:18.307299,766,585,consent_page_0
1763285538.352788,2025-11-16T15:02:18.352788,774,560,consent_page_0
1763285538.461172,2025-11-16T15:02:18.461171,825,541,consent_page_0
1763285538.599331,2025-11-16T15:02:18.599330,840,494,consent_page_0
1763285538.647705,2025-11-16T15:02:18.647705,874,507,consent_page_0
1763285538.695556,2025-11-16T15:02:18.695556,867,499,consent_page_0
1763285538.741708,2025-11-16T15:02:18.741707,858,496,consent_page_0
1763285538.789504,2025-11-16T15:02:18.789503,894,534,consent_page_0
1763285538.866799,2025-11-16T15:02:18.866798,738,197,consent_page_0
1763285538.919339,2025-11-16T15:02:18.919339,783,55,consent_page_0
1763285538.975308,2025-11-16T15:02:18.975308,724,124,consent_page_0
1763285539.020316,2025-11-16T15:02:19.020316,714,299,consent_page_0
1763285539.064331,2025-11-16T15:02:19.064330,735,371,consent_page_0
1763285539.177020,2025-11-16T15:02:19.177020,773,241,consent_page_0
1763285539.223855,2025-11-16T15:02:19.223855,798,2,consent_page_0
1763285539.255312,2025-11-16T15:02:19.255312,785,59,consent_page_0
1763285539.302298,2025-11-16T15:02:19.302297,712,0,consent_page_0
1763285539.350300,2025-11-16T15:02:19.350300,718,16,consent_page_0
1763285539.397312,2025-11-16T15:02:19.397312,719,25,consent_page_0
1763285539.459321,2025-11-16T15:02:19.459320,706,26,consent_page_0
1763285539.513772,2025-11-16T15:02:19.513772,708,16,consent_page_0
1763285539.552042,2025-11-16T15:02:19.552041,712,11,consent_page_0
1763285539.613447,2025-11-16T15:02:19.613447,802,0,consent_page_0
1763285539.659249,2025-11-16T15:02:19.659249,749,11,consent_page_0
1763285539.723234,2025-11-16T15:02:19.723234,739,23,consent_page_0
1763285539.785829,2025-11-16T15:02:19.785828,742,19,consent_page_0
1763285539.848225,2025-11-16T15:02:19.848224,704,45,consent_page_0
1763285539.912061,2025-11-16T15:02:19.912060,742,0,consent_page_0
1763285539.958857,2025-11-16T15:02:19.958857,690,0,consent_page_0
1763285540.066342,2025-11-16T15:02:20.066342,714,130,consent_page_0
1763285540.113421,2025-11-16T15:02:20.113420,736,82,consent_page_0
1763285540.163705,2025-11-16T15:02:20.163704,738,57,consent_page_0
1763285540.175968,2025-11-16T15:02:20.175968,737,57,consent_page_0
1763285540.238700,2025-11-16T15:02:20.238700,773,70,consent_page_0
1763285540.346030,2025-11-16T15:02:20.346030,784,0,consent_page_0
1763285540.470196,2025-11-16T15:02:20.470195,915,55,consent_page_0
1763285540.518196,2025-11-16T15:02:20.518196,962,78,consent_page_0
1763285540.565280,2025-11-16T15:02:20.565280,947,97,consent_page_0
1763285540.627903,2025-11-16T15:02:20.627902,758,374,consent_page_0
1763285540.675906,2025-11-16T15:02:20.675905,829,556,consent_page_0
1763285540.736716,2025-11-16T15:02:20.736715,207,338,consent_page_0
1763285540.782918,2025-11-16T15:02:20.782918,343,366,consent_page_0
1763285540.830348,2025-11-16T15:02:20.830348,334,344,consent_page_0
1763285540.860659,2025-11-16T15:02:20.860658,317,380,consent_page_0
1763285540.908501,2025-11-16T15:02:20.908501,212,399,consent_page_0
1763285541.001659,2025-11-16T15:02:21.001659,290,428,consent_page_0
1763285541.048297,2025-11-16T15:02:21.048297,238,396,consent_page_0
1763285541.095504,2025-11-16T15:02:21.095504,296,309,consent_page_0
1763285541.141877,2025-11-16T15:02:21.141877,284,391,consent_page_0
1763285541.187926,2025-11-16T15:02:21.187925,380,228,consent_page_0
1763285541.265315,2025-11-16T15:02:21.265315,100,170,consent_page_0
