Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,consent_page_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,consent_decision_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,demographics_page_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,demographics_submitted_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,instructions_page_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,index_page_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,start_charging_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,charging_page_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,disabled_charging_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,driving_page_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,index_page_1
1763121640.705723,2025-11-14T12:00:40.705723,49,1013,unknown,restart_game_0
1763121640.719236,2025-11-14T12:00:40.719235,198,1080,unknown,restart_game_0
1763121640.731137,2025-11-14T12:00:40.731136,92,896,unknown,restart_game_0
1763121640.743353,2025-11-14T12:00:40.743353,67,877,unknown,restart_game_0
1763121640.754865,2025-11-14T12:00:40.754864,66,888,unknown,restart_game_0
1763121640.863348,2025-11-14T12:00:40.863348,80,999,unknown,restart_game_0
1763121640.874859,2025-11-14T12:00:40.874858,79,879,unknown,restart_game_0
1763121640.886396,2025-11-14T12:00:40.886396,89,892,unknown,restart_game_0
1763121640.897589,2025-11-14T12:00:40.897589,80,887,unknown,restart_game_0
1763121640.988527,2025-11-14T12:00:40.988526,126,1064,unknown,restart_game_0
1763121641.118862,2025-11-14T12:00:41.118862,197,1034,unknown,restart_game_0
1763121641.131441,2025-11-14T12:00:41.131441,129,986,unknown,restart_game_0
1763121641.144173,2025-11-14T12:00:41.144173,126,964,unknown,restart_game_0
1763121641.155275,2025-11-14T12:00:41.155274,120,961,unknown,restart_game_0
1763121641.260386,2025-11-14T12:00:41.260385,72,1037,unknown,restart_game_0
1763121641.271952,2025-11-14T12:00:41.271951,100,1044,unknown,restart_game_0
1763121641.283466,2025-11-14T12:00:41.283465,107,1040,unknown,restart_game_0
1763121641.294979,2025-11-14T12:00:41.294979,111,1033,unknown,restart_game_0
1763121641.390124,2025-11-14T12:00:41.390123,131,903,unknown,restart_game_0
1763121641.404106,2025-11-14T12:00:41.404105,133,1001,unknown,restart_game_0
1763121641.415620,2025-11-14T12:00:41.415620,144,1005,unknown,restart_game_0
